"","x"
"216","https://www.ptt.cc/bbs/HatePolitics/M.1563523885.A.166.html"
"217","https://www.ptt.cc/bbs/HatePolitics/M.1563523907.A.4CE.html"
"218","https://www.ptt.cc/bbs/HatePolitics/M.1563524121.A.781.html"
"219","https://www.ptt.cc/bbs/HatePolitics/M.1563524347.A.EE2.html"
"220","https://www.ptt.cc/bbs/HatePolitics/M.1563524348.A.4E8.html"
"221","https://www.ptt.cc/bbs/HatePolitics/M.1563524444.A.5B3.html"
"222","https://www.ptt.cc/bbs/HatePolitics/M.1563524457.A.965.html"
"223","https://www.ptt.cc/bbs/HatePolitics/M.1563524495.A.237.html"
"224","https://www.ptt.cc/bbs/HatePolitics/M.1563524509.A.0B4.html"
"225","https://www.ptt.cc/bbs/HatePolitics/M.1563524649.A.641.html"
"226","https://www.ptt.cc/bbs/HatePolitics/M.1563524688.A.B37.html"
"227","https://www.ptt.cc/bbs/HatePolitics/M.1563524767.A.BC1.html"
"228","https://www.ptt.cc/bbs/HatePolitics/M.1563524821.A.155.html"
"229","https://www.ptt.cc/bbs/HatePolitics/M.1563524856.A.833.html"
"230","https://www.ptt.cc/bbs/HatePolitics/M.1563524866.A.670.html"
"231","https://www.ptt.cc/bbs/HatePolitics/M.1563524886.A.48E.html"
"232","https://www.ptt.cc/bbs/HatePolitics/M.1563524930.A.DB9.html"
"233","https://www.ptt.cc/bbs/HatePolitics/M.1563524963.A.5DF.html"
"234","https://www.ptt.cc/bbs/HatePolitics/M.1563524966.A.6BB.html"
"235","https://www.ptt.cc/bbs/HatePolitics/M.1563524990.A.EC3.html"
"236","https://www.ptt.cc/bbs/HatePolitics/M.1563525056.A.A95.html"
"237","https://www.ptt.cc/bbs/HatePolitics/M.1563525063.A.9D3.html"
"238","https://www.ptt.cc/bbs/HatePolitics/M.1563525131.A.F12.html"
"239","https://www.ptt.cc/bbs/HatePolitics/M.1563525222.A.664.html"
"240","https://www.ptt.cc/bbs/HatePolitics/M.1563525271.A.D3B.html"
"241","https://www.ptt.cc/bbs/HatePolitics/M.1563525321.A.4BA.html"
"242","https://www.ptt.cc/bbs/HatePolitics/M.1563525385.A.900.html"
"243","https://www.ptt.cc/bbs/HatePolitics/M.1563525400.A.9AA.html"
"244","https://www.ptt.cc/bbs/HatePolitics/M.1563525464.A.CED.html"
"245","https://www.ptt.cc/bbs/HatePolitics/M.1563525619.A.D19.html"
"246","https://www.ptt.cc/bbs/HatePolitics/M.1563525626.A.0F8.html"
"247","https://www.ptt.cc/bbs/HatePolitics/M.1563525704.A.C34.html"
"248","https://www.ptt.cc/bbs/HatePolitics/M.1563525803.A.06E.html"
"249","https://www.ptt.cc/bbs/HatePolitics/M.1563525896.A.E13.html"
"250","https://www.ptt.cc/bbs/HatePolitics/M.1563525980.A.EF5.html"
"251","https://www.ptt.cc/bbs/HatePolitics/M.1563525986.A.AC1.html"
"252","https://www.ptt.cc/bbs/HatePolitics/M.1563526020.A.3E5.html"
"253","https://www.ptt.cc/bbs/HatePolitics/M.1563526135.A.C71.html"
"254","https://www.ptt.cc/bbs/HatePolitics/M.1563526138.A.53A.html"
"255","https://www.ptt.cc/bbs/HatePolitics/M.1563526144.A.CB7.html"
"256","https://www.ptt.cc/bbs/HatePolitics/M.1563526161.A.537.html"
"257","https://www.ptt.cc/bbs/HatePolitics/M.1563526195.A.E85.html"
"258","https://www.ptt.cc/bbs/HatePolitics/M.1563526315.A.C59.html"
"259","https://www.ptt.cc/bbs/HatePolitics/M.1563526321.A.F05.html"
"260","https://www.ptt.cc/bbs/HatePolitics/M.1563526424.A.2C3.html"
"261","https://www.ptt.cc/bbs/HatePolitics/M.1563526500.A.9B4.html"
"262","https://www.ptt.cc/bbs/HatePolitics/M.1563526520.A.D2B.html"
"263","https://www.ptt.cc/bbs/HatePolitics/M.1563526533.A.7F1.html"
"264","https://www.ptt.cc/bbs/HatePolitics/M.1563526645.A.80E.html"
"265","https://www.ptt.cc/bbs/HatePolitics/M.1563526659.A.CC3.html"
"266","https://www.ptt.cc/bbs/HatePolitics/M.1563526664.A.277.html"
"267","https://www.ptt.cc/bbs/HatePolitics/M.1563526676.A.B13.html"
"268","https://www.ptt.cc/bbs/HatePolitics/M.1563526696.A.DC2.html"
"269","https://www.ptt.cc/bbs/HatePolitics/M.1563526713.A.990.html"
"270","https://www.ptt.cc/bbs/HatePolitics/M.1563526723.A.768.html"
"271","https://www.ptt.cc/bbs/HatePolitics/M.1563526791.A.ECB.html"
"272","https://www.ptt.cc/bbs/HatePolitics/M.1563526801.A.D11.html"
"273","https://www.ptt.cc/bbs/HatePolitics/M.1563527098.A.A63.html"
"274","https://www.ptt.cc/bbs/HatePolitics/M.1563527128.A.2B6.html"
"275","https://www.ptt.cc/bbs/HatePolitics/M.1563527134.A.9B8.html"
"276","https://www.ptt.cc/bbs/HatePolitics/M.1563527243.A.390.html"
"277","https://www.ptt.cc/bbs/HatePolitics/M.1563527279.A.756.html"
"278","https://www.ptt.cc/bbs/HatePolitics/M.1563527291.A.08C.html"
"279","https://www.ptt.cc/bbs/HatePolitics/M.1563527342.A.C15.html"
"280","https://www.ptt.cc/bbs/HatePolitics/M.1563527370.A.5AB.html"
"281","https://www.ptt.cc/bbs/HatePolitics/M.1563527467.A.41E.html"
"282","https://www.ptt.cc/bbs/HatePolitics/M.1563527468.A.921.html"
"283","https://www.ptt.cc/bbs/HatePolitics/M.1563527566.A.41B.html"
"284","https://www.ptt.cc/bbs/HatePolitics/M.1563527668.A.511.html"
"285","https://www.ptt.cc/bbs/HatePolitics/M.1563527726.A.860.html"
"286","https://www.ptt.cc/bbs/HatePolitics/M.1563527759.A.917.html"
"287","https://www.ptt.cc/bbs/HatePolitics/M.1563527793.A.7E6.html"
"288","https://www.ptt.cc/bbs/HatePolitics/M.1563527829.A.624.html"
"289","https://www.ptt.cc/bbs/HatePolitics/M.1563527838.A.7E7.html"
"290","https://www.ptt.cc/bbs/HatePolitics/M.1563527863.A.66F.html"
"291","https://www.ptt.cc/bbs/HatePolitics/M.1563527890.A.A0B.html"
"292","https://www.ptt.cc/bbs/HatePolitics/M.1563527895.A.70B.html"
"293","https://www.ptt.cc/bbs/HatePolitics/M.1563527898.A.F43.html"
"294","https://www.ptt.cc/bbs/HatePolitics/M.1563527911.A.D9F.html"
"295","https://www.ptt.cc/bbs/HatePolitics/M.1563527949.A.B35.html"
"296","https://www.ptt.cc/bbs/HatePolitics/M.1563527977.A.977.html"
"297","https://www.ptt.cc/bbs/HatePolitics/M.1563528012.A.16D.html"
"298","https://www.ptt.cc/bbs/HatePolitics/M.1563528097.A.1F4.html"
"299","https://www.ptt.cc/bbs/HatePolitics/M.1563528152.A.CEB.html"
"300","https://www.ptt.cc/bbs/HatePolitics/M.1563528189.A.51D.html"
"301","https://www.ptt.cc/bbs/HatePolitics/M.1563528223.A.E7D.html"
"302","https://www.ptt.cc/bbs/HatePolitics/M.1563528279.A.06E.html"
"303","https://www.ptt.cc/bbs/HatePolitics/M.1563528293.A.DB0.html"
"304","https://www.ptt.cc/bbs/HatePolitics/M.1563528495.A.A79.html"
"305","https://www.ptt.cc/bbs/HatePolitics/M.1563528504.A.C7C.html"
"306","https://www.ptt.cc/bbs/HatePolitics/M.1563528559.A.9C8.html"
"307","https://www.ptt.cc/bbs/HatePolitics/M.1563528597.A.BB8.html"
"308","https://www.ptt.cc/bbs/HatePolitics/M.1563528695.A.C2F.html"
"309","https://www.ptt.cc/bbs/HatePolitics/M.1563528711.A.764.html"
"310","https://www.ptt.cc/bbs/HatePolitics/M.1563528721.A.BD6.html"
"311","https://www.ptt.cc/bbs/HatePolitics/M.1563528732.A.F10.html"
"312","https://www.ptt.cc/bbs/HatePolitics/M.1563528824.A.E7B.html"
"313","https://www.ptt.cc/bbs/HatePolitics/M.1563528846.A.46D.html"
"314","https://www.ptt.cc/bbs/HatePolitics/M.1563528892.A.C31.html"
"315","https://www.ptt.cc/bbs/HatePolitics/M.1563528986.A.B13.html"
"316","https://www.ptt.cc/bbs/HatePolitics/M.1563529072.A.B3A.html"
"317","https://www.ptt.cc/bbs/HatePolitics/M.1563529240.A.C74.html"
"318","https://www.ptt.cc/bbs/HatePolitics/M.1563529241.A.0AA.html"
"319","https://www.ptt.cc/bbs/HatePolitics/M.1563529245.A.29B.html"
"320","https://www.ptt.cc/bbs/HatePolitics/M.1563529273.A.DC9.html"
"321","https://www.ptt.cc/bbs/HatePolitics/M.1563529277.A.603.html"
"322","https://www.ptt.cc/bbs/HatePolitics/M.1563529316.A.F86.html"
"323","https://www.ptt.cc/bbs/HatePolitics/M.1563529411.A.843.html"
"324","https://www.ptt.cc/bbs/HatePolitics/M.1563529449.A.E35.html"
"325","https://www.ptt.cc/bbs/HatePolitics/M.1563529481.A.063.html"
"326","https://www.ptt.cc/bbs/HatePolitics/M.1563529502.A.29D.html"
"327","https://www.ptt.cc/bbs/HatePolitics/M.1563529534.A.FAB.html"
"328","https://www.ptt.cc/bbs/HatePolitics/M.1563529544.A.863.html"
"329","https://www.ptt.cc/bbs/HatePolitics/M.1563529562.A.4D3.html"
"330","https://www.ptt.cc/bbs/HatePolitics/M.1563529643.A.CAC.html"
"331","https://www.ptt.cc/bbs/HatePolitics/M.1563529669.A.76A.html"
"332","https://www.ptt.cc/bbs/HatePolitics/M.1563529831.A.D05.html"
"333","https://www.ptt.cc/bbs/HatePolitics/M.1563529835.A.532.html"
"334","https://www.ptt.cc/bbs/HatePolitics/M.1563529848.A.E62.html"
"335","https://www.ptt.cc/bbs/HatePolitics/M.1563529868.A.BBD.html"
"336","https://www.ptt.cc/bbs/HatePolitics/M.1563529869.A.8B8.html"
